time,value
0.0,0.3554
0.1,0.833
0.2,1.0161
0.3,0.5014
0.4,0.0254
0.51,0.0545
0.61,0.3768
0.71,0.7463
0.81,0.9271
0.91,0.6419
1.01,0.3085
1.11,0.0
1.21,0.3398
1.31,0.5482
1.41,0.8613
1.52,0.8219
1.62,0.1677
1.72,0.0
1.82,0.1649
1.92,0.6819
2.02,0.9877
2.12,0.7909
2.22,0.3195
2.32,0.0
2.42,0.1663
2.53,0.5268
2.63,0.9725
2.73,0.9238
2.83,0.4277
2.93,0.0193
3.03,0.0
3.13,0.4682
3.23,0.8808
3.33,0.8895
3.43,0.5655
3.54,0.0149
3.64,0.0
3.74,0.4374
3.84,0.8125
3.94,1.1388
4.04,0.7655
4.14,0.3173
4.24,0.1659
4.34,0.2116
4.44,0.5938
4.55,0.9752
4.65,0.8136
4.75,0.2896
4.85,0.0245
4.95,0.2013
5.05,0.7025
5.15,0.8839
5.25,0.6006
5.35,0.32
5.45,0.1397
5.56,0.1781
5.66,0.7042
5.76,0.8298
5.86,0.9216
5.96,0.4824
6.06,0.148
6.16,0.1993
6.26,0.5572
6.36,0.7676
6.46,0.8257
6.57,0.5748
6.67,0.011
6.77,0.0574
6.87,0.3771
6.97,0.8285
7.07,0.9278
7.17,0.7245
7.27,0.3287
7.37,0.0
7.47,0.2659
7.58,0.7859
7.68,0.9915
7.78,0.6303
7.88,0.3464
7.98,0.0
8.08,0.0
8.18,0.6681
8.28,1.0717
8.38,1.2
8.48,0.3393
8.59,0.0
8.69,0.1636
8.79,0.4391
8.89,0.8299
8.99,1.0076
9.09,0.5241
9.19,0.2004
9.29,0.0
9.39,0.3692
9.49,0.9499
9.6,1.0577
9.7,0.4357
9.8,0.1869
9.9,0.0
10.0,0.2321
