time,value
0.0,0.2878
0.1,0.7826
0.2,0.8844
0.3,0.794
0.4,0.2474
0.51,0.015
0.61,0.1552
0.71,0.4403
0.81,0.7665
0.91,0.9169
1.01,0.9327
1.11,0.6427
1.21,0.0698
1.31,0.025
1.41,0.2524
1.52,0.6947
1.62,0.9417
1.72,0.8334
1.82,0.604
1.92,0.5631
2.02,0.0
2.12,0.1185
2.22,0.5466
2.32,0.8357
2.42,0.9196
2.53,0.6548
2.63,0.2825
2.73,0.0843
2.83,0.0707
2.93,0.6022
3.03,0.7318
3.13,0.9759
3.23,0.7632
3.33,0.349
3.43,0.0
3.54,0.1785
3.64,0.4707
3.74,0.7527
3.84,1.068
3.94,0.7163
4.04,0.2707
4.14,0.0
4.24,0.0572
4.34,0.305
4.44,0.742
4.55,1.0229
4.65,1.0136
4.75,0.5583
4.85,0.2389
4.95,0.0544
5.05,0.1212
5.15,0.4727
5.25,1.2
5.35,1.0208
5.45,0.5982
5.56,0.2276
5.66,0.0113
5.76,0.2017
5.86,0.5662
5.96,0.8481
6.06,0.9797
6.16,0.8237
6.26,0.2148
6.36,0.0977
6.46,0.0893
6.57,0.4204
6.67,0.7843
6.77,1.0654
6.87,0.9678
6.97,0.3036
7.07,0.1645
7.17,0.0
7.27,0.2286
7.37,0.5037
7.47,0.998
7.58,0.8694
7.68,0.4846
7.78,0.1726
7.88,0.0315
7.98,0.0314
8.08,0.6202
8.18,0.8245
8.28,0.9257
8.38,1.1947
8.48,0.2943
8.59,0.02
8.69,0.0104
8.79,0.3584
8.89,0.7954
8.99,1.0307
9.09,0.789
9.19,0.4731
9.29,0.0
9.39,0.0915
9.49,0.2934
9.6,0.8674
9.7,0.9057
9.8,1.0172
9.9,0.3109
10.0,0.0643
