time,value
0.0,0.4633
0.1,0.7454
0.2,0.8607
0.3,0.9997
0.4,0.9037
0.51,0.7666
0.61,0.5284
0.71,0.3442
0.81,0.0205
0.91,0.0516
1.01,0.0358
1.11,0.166
1.21,0.4099
1.31,0.6772
1.41,0.8995
1.52,0.9642
1.62,0.9316
1.72,0.8191
1.82,0.567
1.92,0.2886
2.02,0.1399
2.12,0.0019
2.22,0.0415
2.32,0.2293
2.42,0.4455
2.53,0.6745
2.63,0.938
2.73,0.9607
2.83,0.9928
2.93,0.8156
3.03,0.6552
3.13,0.3329
3.23,0.0875
3.33,0.0429
3.43,0.0134
3.54,0.1486
3.64,0.41
3.74,0.6474
3.84,0.8874
3.94,0.9749
4.04,0.9793
4.14,0.8575
4.24,0.6314
4.34,0.3917
4.44,0.1652
4.55,0.0
4.65,0.0099
4.75,0.1104
4.85,0.3444
4.95,0.6396
5.05,0.8386
5.15,0.9354
5.25,1.0115
5.35,0.848
5.45,0.6579
5.56,0.3987
5.66,0.2261
5.76,0.0
5.86,0.0
5.96,0.1259
6.06,0.3287
6.16,0.6034
6.26,0.8529
6.36,0.9913
6.46,1.0126
6.57,0.8733
6.67,0.6499
6.77,0.4188
6.87,0.1464
6.97,0.0416
7.07,0.0
7.17,0.097
7.27,0.2776
7.37,0.5445
7.47,0.8029
7.58,0.9244
7.68,0.9966
7.78,0.9051
7.88,0.6825
7.98,0.4316
8.08,0.2153
8.18,0.0103
8.28,0.0021
8.38,0.0733
8.48,0.2782
8.59,0.5215
8.69,0.7335
8.79,0.9404
8.89,0.9777
8.99,0.8995
9.09,0.7708
9.19,0.462
9.29,0.2457
9.39,0.0709
9.49,0.0294
9.6,0.0626
9.7,0.2292
9.8,0.5051
9.9,0.7081
10.0,0.9564
