time,value
0.0,0.4408
0.1,0.7105
0.2,0.8546
0.3,0.6298
0.4,0.0617
0.51,0.0
0.61,0.2264
0.71,0.6479
0.81,0.9385
0.91,0.5941
1.01,0.5175
1.11,0.0446
1.21,0.0605
1.31,0.4553
1.41,1.0548
1.52,0.9661
1.62,0.6473
1.72,0.0905
1.82,0.0
1.92,0.2004
2.02,0.6273
2.12,1.0898
2.22,1.0243
2.32,0.3054
2.42,0.0613
2.53,0.1908
2.63,0.3741
2.73,1.0068
2.83,1.1801
2.93,0.5811
3.03,0.056
3.13,0.005
3.23,0.2843
3.33,0.6709
3.43,1.0018
3.54,0.8373
3.64,0.4655
3.74,0.1692
3.84,0.0
3.94,0.5405
4.04,1.0609
4.14,0.9834
4.24,0.6407
4.34,0.0917
4.44,0.0092
4.55,0.1317
4.65,0.669
4.75,0.9326
4.85,0.7084
4.95,0.4498
5.05,0.3132
5.15,0.1598
5.25,0.2799
5.35,0.8602
5.45,0.9466
5.56,0.6485
5.66,0.2229
5.76,0.0
5.86,0.1252
5.96,0.5541
6.06,0.9531
6.16,0.8965
6.26,0.645
6.36,0.1934
6.46,0.1859
6.57,0.4686
6.67,0.8564
6.77,1.1036
6.87,0.6371
6.97,0.2959
7.07,0.0385
7.17,0.1641
7.27,0.7173
7.37,1.0974
7.47,0.8146
7.58,0.4031
7.68,0.4631
7.78,0.0
7.88,0.5806
7.98,0.7407
8.08,0.9271
8.18,0.6132
8.28,0.2208
8.38,0.0
8.48,0.1268
8.59,0.7134
8.69,0.9537
8.79,0.9551
8.89,0.3061
8.99,0.114
9.09,0.1019
9.19,0.4744
9.29,0.8389
9.39,0.8927
9.49,0.6365
9.6,0.2225
9.7,0.0376
9.8,0.2109
9.9,0.5663
10.0,0.8902
