time,value
0.0,0.5056
0.1,0.7763
0.2,0.9258
0.3,0.6787
0.4,0.0
0.51,0.0095
0.61,0.292
0.71,0.6136
0.81,0.9487
0.91,0.9751
1.01,0.7303
1.11,0.1049
1.21,0.0833
1.31,0.2911
1.41,0.7425
1.52,1.1126
1.62,0.8152
1.72,0.478
1.82,0.0
1.92,0.1632
2.02,0.4036
2.12,1.0213
2.22,1.0474
2.32,0.713
2.42,0.2676
2.53,0.0
2.63,0.1632
2.73,0.8439
2.83,1.2
2.93,0.8163
3.03,0.5327
3.13,0.1361
3.23,0.0471
3.33,0.3403
3.43,0.7575
3.54,1.0707
3.64,0.9082
3.74,0.4129
3.84,0.1374
3.94,0.077
4.04,0.4943
4.14,0.8919
4.24,1.0865
4.34,0.7307
4.44,0.2805
4.55,0.0
4.65,0.1755
4.75,0.5409
4.85,1.0509
4.95,0.9516
5.05,0.6601
5.15,0.0322
5.25,0.0
5.35,0.0689
5.45,0.6039
5.56,1.0221
5.66,0.9499
5.76,0.4673
5.86,0.0
5.96,0.2169
6.06,0.3437
6.16,0.6119
6.26,1.0384
6.36,0.6693
6.46,0.4215
6.57,0.0
6.67,0.231
6.77,0.4387
6.87,1.0286
6.97,1.0563
7.07,0.8604
7.17,0.1532
7.27,0.0213
7.37,0.0647
7.47,0.7945
7.58,0.9801
7.68,1.039
7.78,0.3153
7.88,0.1651
7.98,0.0
8.08,0.3462
8.18,0.9822
8.28,0.9359
8.38,0.7172
8.48,0.237
8.59,0.086
8.69,0.0323
8.79,0.7196
8.89,0.9323
8.99,1.0778
9.09,0.7721
9.19,0.2084
9.29,0.0
9.39,0.3212
9.49,0.5361
9.6,1.0014
9.7,1.0232
9.8,0.6568
9.9,0.0037
10.0,0.0
