time,value
0.0,0.4916
0.1,0.7546
0.2,0.9097
0.3,0.9587
0.4,0.8295
0.51,0.5272
0.61,0.2743
0.71,0.0195
0.81,0.0243
0.91,0.0943
1.01,0.3213
1.11,0.6432
1.21,0.9021
1.31,0.9949
1.41,0.9276
1.52,0.7212
1.62,0.4024
1.72,0.1817
1.82,0.0598
1.92,0.0
2.02,0.2299
2.12,0.5389
2.22,0.8032
2.32,0.9988
2.42,0.9814
2.53,0.8108
2.63,0.5678
2.73,0.227
2.83,0.0419
2.93,0.0052
3.03,0.1355
3.13,0.3906
3.23,0.6542
3.33,0.8463
3.43,0.9543
3.54,0.8764
3.64,0.6904
3.74,0.4092
3.84,0.1333
3.94,0.0686
4.04,0.045
4.14,0.1589
4.24,0.5024
4.34,0.7918
4.44,0.9638
4.55,0.9506
4.65,0.8022
4.75,0.5533
4.85,0.2547
4.95,0.0511
5.05,0.0
5.15,0.1188
5.25,0.4155
5.35,0.6399
5.45,0.846
5.56,0.9802
5.66,0.8825
5.76,0.653
5.86,0.3712
5.96,0.1638
6.06,0.0287
6.16,0.0296
6.26,0.1984
6.36,0.5657
6.46,0.7811
6.57,1.005
6.67,0.9978
6.77,0.819
6.87,0.5857
6.97,0.2972
7.07,0.0932
7.17,0.0293
7.27,0.1443
7.37,0.4028
7.47,0.6516
7.58,0.9009
7.68,0.9971
7.78,0.9263
7.88,0.6863
7.98,0.3439
8.08,0.1714
8.18,0.0001
8.28,0.0511
8.38,0.2452
8.48,0.5101
8.59,0.8239
8.69,0.9571
8.79,0.971
8.89,0.8108
8.99,0.542
9.09,0.2405
9.19,0.0121
9.29,0.0136
9.39,0.127
9.49,0.4043
9.6,0.6636
9.7,0.9168
9.8,0.9792
9.9,0.9218
10.0,0.6852
