time,value
0.0,0.4479
0.1,0.91
0.2,0.9858
0.3,0.5839
0.4,0.2069
0.51,0.0
0.61,0.0172
0.71,0.5732
0.81,0.955
0.91,0.9996
1.01,0.5882
1.11,0.3142
1.21,0.0528
1.31,0.2074
1.41,0.5447
1.52,0.9429
1.62,1.2
1.72,0.549
1.82,0.0333
1.92,0.0
2.02,0.2323
2.12,0.5809
2.22,1.0083
2.32,0.9184
2.42,0.4846
2.53,0.0813
2.63,0.0
2.73,0.3429
2.83,0.5896
2.93,0.9587
3.03,0.84
3.13,0.4404
3.23,0.1035
3.33,0.0352
3.43,0.2769
3.54,0.8698
3.64,1.1071
3.74,0.7053
3.84,0.229
3.94,0.0
4.04,0.0322
4.14,0.3879
4.24,0.8372
4.34,1.0349
4.44,0.6325
4.55,0.2439
4.65,0.0
4.75,0.0906
4.85,0.5752
4.95,0.8505
5.05,0.9422
5.15,0.6214
5.25,0.1849
5.35,0.1939
5.45,0.0
5.56,0.7024
5.66,0.9132
5.76,0.796
5.86,0.6203
5.96,0.3579
6.06,0.0772
6.16,0.2923
6.26,0.6938
6.36,1.0274
6.46,0.8297
6.57,0.7538
6.67,0.2795
6.77,0.0
6.87,0.2468
6.97,0.6673
7.07,0.893
7.17,1.0777
7.27,0.4942
7.37,0.0
7.47,0.0886
7.58,0.3173
7.68,0.6551
7.78,0.9472
7.88,0.6943
7.98,0.3241
8.08,0.0502
8.18,0.1279
8.28,0.4405
8.38,0.8293
8.48,0.9824
8.59,0.9483
8.69,0.2946
8.79,0.1062
8.89,0.0
8.99,0.4753
9.09,0.8294
9.19,1.0679
9.29,0.7318
9.39,0.1309
9.49,0.0088
9.6,0.1874
9.7,0.9232
9.8,1.0543
9.9,0.9266
10.0,0.5227
