time,value
0.0,0.4727
0.1,0.9548
0.2,0.9631
0.3,0.6193
0.4,0.3134
0.51,0.0
0.61,0.1215
0.71,0.7912
0.81,1.1249
0.91,0.9262
1.01,0.9232
1.11,0.1117
1.21,0.171
1.31,0.8697
1.41,0.9651
1.52,0.8443
1.62,0.5647
1.72,0.2477
1.82,0.0
1.92,0.26
2.02,0.753
2.12,0.9951
2.22,0.8598
2.32,0.2012
2.42,0.051
2.53,0.0428
2.63,0.6376
2.73,1.0781
2.83,0.8953
2.93,0.4647
3.03,0.0
3.13,0.0
3.23,0.286
3.33,0.8349
3.43,0.9892
3.54,0.7143
3.64,0.4497
3.74,0.0
3.84,0.2659
3.94,0.5267
4.04,0.8132
4.14,0.9491
4.24,0.5681
4.34,0.1655
4.44,0.0
4.55,0.3507
4.65,0.8075
4.75,0.9268
4.85,0.7801
4.95,0.3947
5.05,0.0505
5.15,0.0867
5.25,0.5982
5.35,0.9911
5.45,1.0871
5.56,0.6102
5.66,0.157
5.76,0.1578
5.86,0.4524
5.96,1.0708
6.06,1.2
6.16,0.7258
6.26,0.185
6.36,0.0
6.46,0.2989
6.57,0.5605
6.67,0.9535
6.77,0.9512
6.87,0.4862
6.97,0.0835
7.07,0.0838
7.17,0.5188
7.27,0.747
7.37,0.9898
7.47,0.6433
7.58,0.2659
7.68,0.0
7.78,0.0728
7.88,0.8443
7.98,0.8634
8.08,0.8719
8.18,0.3572
8.28,0.0498
8.38,0.05
8.48,0.5314
8.59,0.9457
8.69,1.007
8.79,0.7537
8.89,0.4262
8.99,0.0
9.09,0.247
9.19,0.7218
9.29,1.0435
9.39,0.8626
9.49,0.5357
9.6,0.2138
9.7,0.1009
9.8,0.4728
9.9,0.9541
10.0,1.0923
