time,value
0.0,0.5459
0.1,0.7416
0.2,0.9781
0.3,0.9702
0.4,0.8531
0.51,0.6356
0.61,0.3201
0.71,0.0202
0.81,0.0
0.91,0.1179
1.01,0.3198
1.11,0.5562
1.21,0.8164
1.31,0.9984
1.41,0.9318
1.52,0.7715
1.62,0.4545
1.72,0.1009
1.82,0.0677
1.92,0.0383
2.02,0.2221
2.12,0.4362
2.22,0.7506
2.32,0.8915
2.42,0.9597
2.53,0.8958
2.63,0.6546
2.73,0.3027
2.83,0.11
2.93,0.0
3.03,0.1176
3.13,0.3147
3.23,0.5978
3.33,0.8469
3.43,1.0151
3.54,0.9195
3.64,0.8559
3.74,0.5061
3.84,0.2619
3.94,0.0662
4.04,0.0
4.14,0.1301
4.24,0.3569
4.34,0.662
4.44,0.8804
4.55,0.9739
4.65,0.9425
4.75,0.6918
4.85,0.4024
4.95,0.1006
5.05,0.0
5.15,0.0021
5.25,0.2109
5.35,0.4843
5.45,0.7902
5.56,0.9704
5.66,0.9406
5.76,0.8469
5.86,0.6189
5.96,0.2926
6.06,0.1031
6.16,0.0
6.26,0.0972
6.36,0.3046
6.46,0.5876
6.57,0.8647
6.67,1.0281
6.77,0.9493
6.87,0.7701
6.97,0.4952
7.07,0.1808
7.17,0.0798
7.27,0.0367
7.37,0.182
7.47,0.4075
7.58,0.7371
7.68,0.8913
7.78,0.9568
7.88,0.8815
7.98,0.6861
8.08,0.3726
8.18,0.1053
8.28,0.0145
8.38,0.0634
8.48,0.2445
8.59,0.5562
8.69,0.8509
8.79,0.9999
8.89,1.0105
8.99,0.8547
9.09,0.5902
9.19,0.299
9.29,0.0512
9.39,0.0
9.49,0.1013
9.6,0.3905
9.7,0.637
9.8,0.9508
9.9,1.0389
10.0,0.9694
