time,value
0.0,0.5774
0.1,0.9686
0.2,0.9001
0.3,0.774
0.4,0.4014
0.51,0.0406
0.61,0.1437
0.71,0.518
0.81,0.8132
0.91,1.1019
1.01,0.7513
1.11,0.2821
1.21,0.0116
1.31,0.1577
1.41,0.4864
1.52,0.6714
1.62,0.7532
1.72,0.8805
1.82,0.361
1.92,0.0597
2.02,0.0594
2.12,0.5299
2.22,0.8734
2.32,0.9441
2.42,0.9186
2.53,0.3097
2.63,0.1032
2.73,0.0589
2.83,0.361
2.93,0.7801
3.03,1.0859
3.13,0.7661
3.23,0.3493
3.33,0.1613
3.43,0.0353
3.54,0.3652
3.64,0.8921
3.74,1.0011
3.84,0.8603
3.94,0.3239
4.04,0.0967
4.14,0.1359
4.24,0.3438
4.34,0.9415
4.44,1.054
4.55,0.9278
4.65,0.4752
4.75,0.0706
4.85,0.0192
4.95,0.3575
5.05,0.8447
5.15,1.0469
5.25,0.8814
5.35,0.5092
5.45,0.1157
5.56,0.0
5.66,0.2859
5.76,0.7153
5.86,1.0569
5.96,0.8255
6.06,0.5174
6.16,0.0999
6.26,0.0
6.36,0.3584
6.46,0.7509
6.57,1.1444
6.67,0.9204
6.77,0.5238
6.87,0.2798
6.97,0.1859
7.07,0.1891
7.17,0.677
7.27,0.9525
7.37,0.7838
7.47,0.4967
7.58,0.0
7.68,0.0
7.78,0.2651
7.88,0.7455
7.98,0.8387
8.08,0.8637
8.18,0.5751
8.28,0.15
8.38,0.0
8.48,0.3499
8.59,0.7056
8.69,0.9948
8.79,0.8577
8.89,0.4985
8.99,0.3051
9.09,0.1064
9.19,0.4232
9.29,1.0575
9.39,0.8591
9.49,0.9769
9.6,0.5936
9.7,0.0044
9.8,0.5443
9.9,0.1476
10.0,0.6215
