time,value
0.0,0.4554
0.1,0.9016
0.2,0.9089
0.3,0.83
0.4,0.382
0.51,0.0329
0.61,0.0502
0.71,0.5319
0.81,0.665
0.91,0.9541
1.01,0.6069
1.11,0.4781
1.21,0.0
1.31,0.0027
1.41,0.3162
1.52,0.6906
1.62,1.045
1.72,0.9608
1.82,0.5779
1.92,0.1273
2.02,0.0811
2.12,0.2189
2.22,0.4815
2.32,0.8091
2.42,1.1385
2.53,0.7817
2.63,0.2671
2.73,0.0
2.83,0.151
2.93,0.4662
3.03,0.8198
3.13,0.9002
3.23,0.9536
3.33,0.3631
3.43,0.1014
3.54,0.0209
3.64,0.3987
3.74,0.7799
3.84,0.8992
3.94,0.97
4.04,0.441
4.14,0.2353
4.24,0.0005
4.34,0.2501
4.44,0.6853
4.55,0.9857
4.65,0.9445
4.75,0.6219
4.85,0.2433
4.95,0.0233
5.05,0.1093
5.15,0.6285
5.25,0.8389
5.35,0.9713
5.45,0.555
5.56,0.4822
5.66,0.1184
5.76,0.1254
5.86,0.4795
5.96,0.9294
6.06,1.0661
6.16,0.9476
6.26,0.4965
6.36,0.0626
6.46,0.0863
6.57,0.2903
6.67,0.6662
6.77,0.7879
6.87,1.0258
6.97,0.55
7.07,0.2975
7.17,0.0
7.27,0.1932
7.37,0.6171
7.47,1.0034
7.58,0.9461
7.68,0.5197
7.78,0.251
7.88,0.0
7.98,0.0919
8.08,0.417
8.18,0.7969
8.28,0.9545
8.38,0.8479
8.48,0.4642
8.59,0.0016
8.69,0.0973
8.79,0.4347
8.89,0.8614
8.99,0.9646
9.09,1.2
9.19,0.3632
9.29,0.0607
9.39,0.024
9.49,0.2584
9.6,0.6033
9.7,1.0545
9.8,0.8364
9.9,0.5693
10.0,0.2374
