time,value
0.0,0.4477
0.1,0.7604
0.2,0.8816
0.3,0.9823
0.4,0.9772
0.51,0.8069
0.61,0.5175
0.71,0.3239
0.81,0.1314
0.91,0.0
1.01,0.0283
1.11,0.2209
1.21,0.3936
1.31,0.6201
1.41,0.9232
1.52,0.963
1.62,0.9594
1.72,0.8276
1.82,0.5364
1.92,0.3681
2.02,0.1665
2.12,0.0088
2.22,0.0
2.32,0.1272
2.42,0.3137
2.53,0.5961
2.63,0.8439
2.73,0.9994
2.83,1.0045
2.93,0.895
3.03,0.7051
3.13,0.4416
3.23,0.1893
3.33,0.0238
3.43,0.0007
3.54,0.0983
3.64,0.2604
3.74,0.56
3.84,0.7473
3.94,0.9197
4.04,0.9693
4.14,0.9488
4.24,0.7155
4.34,0.4889
4.44,0.1919
4.55,0.069
4.65,0.0
4.75,0.0
4.85,0.1764
4.95,0.4501
5.05,0.6745
5.15,0.9027
5.25,0.9885
5.35,0.9771
5.45,0.838
5.56,0.6526
5.66,0.382
5.76,0.1448
5.86,0.0199
5.96,0.0
6.06,0.152
6.16,0.285
6.26,0.5984
6.36,0.8175
6.46,0.997
6.57,0.9809
6.67,0.8557
6.77,0.688
6.87,0.4533
6.97,0.1801
7.07,0.0
7.17,0.09
7.27,0.1122
7.37,0.2872
7.47,0.5247
7.58,0.8152
7.68,0.942
7.78,0.9916
7.88,0.907
7.98,0.7293
8.08,0.4826
8.18,0.2662
8.28,0.0458
8.38,0.0009
8.48,0.0035
8.59,0.2331
8.69,0.4216
8.79,0.7262
8.89,0.9021
8.99,1.0055
9.09,0.9486
9.19,0.764
9.29,0.5639
9.39,0.2936
9.49,0.1019
9.6,0.0568
9.7,0.0
9.8,0.2478
9.9,0.3729
10.0,0.5789
