time,value
0.0,0.4421
0.1,0.8568
0.2,0.9761
0.3,0.9913
0.4,0.7993
0.51,0.6158
0.61,0.2559
0.71,0.0815
0.81,0.0156
0.91,0.0943
1.01,0.3969
1.11,0.6703
1.21,0.8806
1.31,1.0375
1.41,0.907
1.52,0.6638
1.62,0.4071
1.72,0.0532
1.82,0.0309
1.92,0.0459
2.02,0.2812
2.12,0.5766
2.22,0.7758
2.32,0.8815
2.42,0.9745
2.53,0.7735
2.63,0.4838
2.73,0.2336
2.83,0.0
2.93,0.0347
3.03,0.1742
3.13,0.4166
3.23,0.6872
3.33,0.9342
3.43,0.9592
3.54,0.9595
3.64,0.6473
3.74,0.3227
3.84,0.1189
3.94,0.0
4.04,0.1363
4.14,0.3684
4.24,0.5568
4.34,0.9272
4.44,0.9882
4.55,0.9275
4.65,0.7213
4.75,0.513
4.85,0.2422
4.95,0.0067
5.05,0.0338
5.15,0.1957
5.25,0.5332
5.35,0.7627
5.45,0.9682
5.56,1.0165
5.66,0.8447
5.76,0.5587
5.86,0.2571
5.96,0.0987
6.06,0.0
6.16,0.0967
6.26,0.362
6.36,0.6488
6.46,0.9157
6.57,1.0248
6.67,0.9072
6.77,0.6812
6.87,0.4227
6.97,0.1954
7.07,0.0
7.17,0.0493
7.27,0.2755
7.37,0.553
7.47,0.8139
7.58,0.9387
7.68,0.9789
7.78,0.8161
7.88,0.5562
7.98,0.229
8.08,0.0446
8.18,0.0447
8.28,0.1325
8.38,0.3982
8.48,0.7113
8.59,0.9456
8.69,1.0145
8.79,0.9279
8.89,0.608
8.99,0.3661
9.09,0.0703
9.19,0.0
9.29,0.0952
9.39,0.3554
9.49,0.5977
9.6,0.8299
9.7,1.0094
9.8,0.9442
9.9,0.7473
10.0,0.4954
