time,value
0.0,0.4918
0.1,0.7796
0.2,0.9831
0.3,1.0198
0.4,0.9002
0.51,0.7679
0.61,0.4498
0.71,0.2081
0.81,0.0543
0.91,0.0097
1.01,0.1055
1.11,0.283
1.21,0.5272
1.31,0.7958
1.41,0.9612
1.52,0.9594
1.62,0.8813
1.72,0.6307
1.82,0.435
1.92,0.1932
2.02,0.0434
2.12,0.0
2.22,0.0725
2.32,0.33
2.42,0.582
2.53,0.81
2.63,0.9746
2.73,0.9852
2.83,0.8935
2.93,0.6297
3.03,0.3576
3.13,0.163
3.23,0.0433
3.33,0.0
3.43,0.1856
3.54,0.3434
3.64,0.6149
3.74,0.8663
3.84,0.9005
3.94,1.0449
4.04,0.8847
4.14,0.6573
4.24,0.3647
4.34,0.1918
4.44,0.018
4.55,0.0
4.65,0.1951
4.75,0.4411
4.85,0.7223
4.95,0.9005
5.05,0.9802
5.15,0.9208
5.25,0.7894
5.35,0.5812
5.45,0.3079
5.56,0.0723
5.66,0.0435
5.76,0.0542
5.86,0.2136
5.96,0.4245
6.06,0.7945
6.16,0.9061
6.26,1.0031
6.36,0.9629
6.46,0.7594
6.57,0.566
6.67,0.2167
6.77,0.0691
6.87,0.0118
6.97,0.0422
7.07,0.289
7.17,0.5254
7.27,0.7624
7.37,0.9413
7.47,1.042
7.58,0.8638
7.68,0.718
7.78,0.4953
7.88,0.28
7.98,0.0081
8.08,0.005
8.18,0.0817
8.28,0.2411
8.38,0.5954
8.48,0.8118
8.59,0.9872
8.69,0.9808
8.79,0.8596
8.89,0.7093
8.99,0.3727
9.09,0.2158
9.19,0.0693
9.29,0.021
9.39,0.1434
9.49,0.328
9.6,0.5804
9.7,0.7744
9.8,1.0381
9.9,0.9689
10.0,0.8489
