time,value
0.0,0.6161
0.1,0.7735
0.2,0.8664
0.3,0.5729
0.4,0.011
0.51,0.0186
0.61,0.3964
0.71,0.8437
0.81,1.0453
0.91,0.7088
1.01,0.2834
1.11,0.0
1.21,0.2441
1.31,0.7592
1.41,0.8373
1.52,0.8049
1.62,0.2491
1.72,0.1466
1.82,0.3064
1.92,0.6218
2.02,0.8163
2.12,0.8613
2.22,0.2701
2.32,0.0616
2.42,0.1324
2.53,0.6316
2.63,1.094
2.73,0.8579
2.83,0.4721
2.93,0.0
3.03,0.045
3.13,0.4231
3.23,0.9476
3.33,0.9853
3.43,0.4898
3.54,0.0757
3.64,0.0792
3.74,0.3473
3.84,0.8895
3.94,0.9234
4.04,0.5842
4.14,0.1709
4.24,0.0
4.34,0.2328
4.44,0.726
4.55,0.9442
4.65,0.7846
4.75,0.2586
4.85,0.0423
4.95,0.1469
5.05,0.7408
5.15,0.9102
5.25,0.7612
5.35,0.2488
5.45,0.0525
5.56,0.1409
5.66,0.5817
5.76,0.9643
5.86,1.0036
5.96,0.5331
6.06,0.0293
6.16,0.0
6.26,0.6019
6.36,0.7557
6.46,0.8782
6.57,0.6172
6.67,0.0836
6.77,0.0324
6.87,0.4648
6.97,0.9189
7.07,0.8096
7.17,0.6545
7.27,0.2432
7.37,0.4874
7.47,0.4107
7.58,0.9584
7.68,1.0713
7.78,0.7322
7.88,0.3567
7.98,0.0
8.08,0.198
8.18,0.8092
8.28,1.1411
8.38,0.689
8.48,0.2287
8.59,0.0
8.69,0.2566
8.79,0.6117
8.89,1.0279
8.99,0.9091
9.09,0.493
9.19,0.0
9.29,0.2236
9.39,0.5367
9.49,1.0594
9.6,0.9498
9.7,0.4767
9.8,0.0002
9.9,0.0
10.0,0.3879
