time,value
0.0,0.4401
0.1,0.941
0.2,0.9402
0.3,0.8876
0.4,0.5818
0.51,0.1485
0.61,0.0
0.71,0.3013
0.81,0.7151
0.91,0.8193
1.01,1.0585
1.11,0.586
1.21,0.3681
1.31,0.0
1.41,0.1026
1.52,0.3298
1.62,0.8171
1.72,0.8936
1.82,0.9032
1.92,0.4684
2.02,0.1579
2.12,0.0
2.22,0.3512
2.32,0.6585
2.42,1.0224
2.53,1.0169
2.63,0.6804
2.73,0.0715
2.83,0.0
2.93,0.1063
3.03,0.9501
3.13,0.8245
3.23,0.9457
3.33,0.8361
3.43,0.4078
3.54,0.0377
3.64,0.0
3.74,0.229
3.84,0.6122
3.94,0.9502
4.04,0.9646
4.14,0.6048
4.24,0.1965
4.34,0.0
4.44,0.0253
4.55,0.4386
4.65,0.7026
4.75,1.0128
4.85,0.944
4.95,0.538
5.05,0.093
5.15,0.0
5.25,0.1273
5.35,0.5894
5.45,0.8687
5.56,1.0018
5.66,0.6175
5.76,0.3351
5.86,0.0857
5.96,0.1657
6.06,0.1766
6.16,0.738
6.26,1.061
6.36,0.8568
6.46,0.4555
6.57,0.1923
6.67,0.0
6.77,0.2352
6.87,0.5416
6.97,0.9737
7.07,1.0366
7.17,0.9752
7.27,0.2919
7.37,0.0023
7.47,0.0
7.58,0.2812
7.68,0.6179
7.78,1.0387
7.88,1.0124
7.98,0.4313
8.08,0.2034
8.18,0.1001
8.28,0.0917
8.38,0.3758
8.48,0.9611
8.59,0.9312
8.69,0.8099
8.79,0.3581
8.89,0.0
8.99,0.0
9.09,0.1819
9.19,0.7562
9.29,1.0135
9.39,0.7427
9.49,0.5722
9.6,0.506
9.7,0.0505
9.8,0.1345
9.9,0.5281
10.0,0.8447
