time,value
0.0,0.4635
0.1,0.9135
0.2,1.2
0.3,0.7045
0.4,0.3244
0.51,0.0834
0.61,0.3361
0.71,0.7836
0.81,0.9733
0.91,1.035
1.01,0.4741
1.11,0.0656
1.21,0.0
1.31,0.2861
1.41,0.8402
1.52,1.0297
1.62,0.7977
1.72,0.3321
1.82,0.3296
1.92,0.092
2.02,0.518
2.12,0.9102
2.22,1.0273
2.32,0.8911
2.42,0.2456
2.53,0.1112
2.63,0.2935
2.73,0.9869
2.83,0.9782
2.93,0.7476
3.03,0.6356
3.13,0.1003
3.23,0.057
3.33,0.338
3.43,0.8068
3.54,1.0029
3.64,0.79
3.74,0.3653
3.84,0.1668
3.94,0.0722
4.04,0.4463
4.14,0.8665
4.24,1.0012
4.34,0.6758
4.44,0.3928
4.55,0.0
4.65,0.1084
4.75,0.7626
4.85,1.014
4.95,0.957
5.05,0.5521
5.15,0.0861
5.25,0.0
5.35,0.275
5.45,0.7852
5.56,1.0154
5.66,1.0583
5.76,0.421
5.86,0.0539
5.96,0.0338
6.06,0.4451
6.16,0.8217
6.26,1.0205
6.36,0.7594
6.46,0.3608
6.57,0.0
6.67,0.0281
6.77,0.6997
6.87,0.9682
6.97,0.9216
7.07,0.6563
7.17,0.0499
7.27,0.1559
7.37,0.2935
7.47,0.9569
7.58,0.9687
7.68,0.8191
7.78,0.3334
7.88,0.0076
7.98,0.0371
8.08,0.4008
8.18,0.928
8.28,1.0782
8.38,0.7311
8.48,0.4482
8.59,0.0196
8.69,0.2353
8.79,0.4906
8.89,1.0028
8.99,0.9829
9.09,0.5133
9.19,0.1016
9.29,0.0
9.39,0.3424
9.49,0.7263
9.6,1.1133
9.7,0.5871
9.8,0.2941
9.9,0.1061
10.0,0.0445
