time,value
0.0,0.5094
0.1,0.7535
0.2,0.9912
0.3,0.9826
0.4,0.8296
0.51,0.5602
0.61,0.2959
0.71,0.0499
0.81,0.0
0.91,0.1022
1.01,0.2828
1.11,0.6099
1.21,0.9213
1.31,1.0279
1.41,0.9977
1.52,0.7947
1.62,0.4719
1.72,0.175
1.82,0.0173
1.92,0.014
2.02,0.1566
2.12,0.4439
2.22,0.7094
2.32,0.96
2.42,0.9991
2.53,0.9014
2.63,0.6891
2.73,0.4308
2.83,0.1247
2.93,0.014
3.03,0.0848
3.13,0.2457
3.23,0.5073
3.33,0.7517
3.43,0.9961
3.54,1.0291
3.64,0.8083
3.74,0.6242
3.84,0.3435
3.94,0.0824
4.04,0.0
4.14,0.0375
4.24,0.3053
4.34,0.6025
4.44,0.8259
4.55,0.9692
4.65,0.9566
4.75,0.7758
4.85,0.4844
4.95,0.1809
5.05,0.0855
5.15,0.0397
5.25,0.1676
5.35,0.4207
5.45,0.6999
5.56,0.9994
5.66,1.0014
5.76,0.9477
5.86,0.6279
5.96,0.4582
6.06,0.1232
6.16,0.0419
6.26,0.0324
6.36,0.2922
6.46,0.5195
6.57,0.796
6.67,0.9318
6.77,0.9616
6.87,0.7998
6.97,0.5922
7.07,0.3198
7.17,0.0711
7.27,0.0237
7.37,0.0974
7.47,0.3214
7.58,0.6298
7.68,0.8955
7.78,1.015
7.88,0.9523
7.98,0.7316
8.08,0.4693
8.18,0.2118
8.28,0.0087
8.38,0.0194
8.48,0.135
8.59,0.4208
8.69,0.7527
8.79,0.9636
8.89,1.0388
8.99,0.9465
9.09,0.6771
9.19,0.3992
9.29,0.1737
9.39,0.0
9.49,0.0323
9.6,0.2184
9.7,0.5046
9.8,0.8021
9.9,0.9154
10.0,1.0153
