time,value
0.0,0.4873
0.1,0.7261
0.2,0.9763
0.3,0.9643
0.4,0.8968
0.51,0.6899
0.61,0.3489
0.71,0.1875
0.81,0.0419
0.91,0.0244
1.01,0.1753
1.11,0.4373
1.21,0.6402
1.31,0.9038
1.41,1.028
1.52,0.9235
1.62,0.8066
1.72,0.4789
1.82,0.2831
1.92,0.0517
2.02,0.0056
2.12,0.0909
2.22,0.3489
2.32,0.5869
2.42,0.8497
2.53,0.9639
2.63,0.9917
2.73,0.927
2.83,0.6456
2.93,0.3554
3.03,0.1162
3.13,0.02
3.23,0.0863
3.33,0.1684
3.43,0.5
3.54,0.7752
3.64,0.9571
3.74,1.0058
3.84,0.9197
3.94,0.7453
4.04,0.4769
4.14,0.2453
4.24,0.0238
4.34,0.0336
4.44,0.1729
4.55,0.3753
4.65,0.6711
4.75,0.8611
4.85,1.0134
4.95,0.9461
5.05,0.82
5.15,0.5808
5.25,0.291
5.35,0.0949
5.45,0.0191
5.56,0.0573
5.66,0.248
5.76,0.4979
5.86,0.7737
5.96,0.9493
6.06,0.9901
6.16,0.8784
6.26,0.6861
6.36,0.4672
6.46,0.1019
6.57,0.051
6.67,0.0254
6.77,0.1722
6.87,0.4357
6.97,0.6905
7.07,0.9112
7.17,1.0166
7.27,0.9562
7.37,0.7371
7.47,0.4608
7.58,0.1983
7.68,0.0625
7.78,0.0026
7.88,0.0771
7.98,0.3312
8.08,0.5826
8.18,0.8366
8.28,1.0332
8.38,1.0024
8.48,0.8917
8.59,0.5737
8.69,0.3524
8.79,0.1401
8.89,0.0
8.99,0.008
9.09,0.2904
9.19,0.5067
9.29,0.7946
9.39,0.9301
9.49,0.9746
9.6,0.909
9.7,0.7156
9.8,0.412
9.9,0.1477
10.0,0.0
