time,value
0.0,0.6479
0.1,0.7212
0.2,0.844
0.3,0.8823
0.4,0.3766
0.51,0.0
0.61,0.0032
0.71,0.2584
0.81,0.6495
0.91,0.997
1.01,0.9395
1.11,0.5829
1.21,0.1737
1.31,0.0831
1.41,0.2204
1.52,0.5187
1.62,1.0364
1.72,0.9592
1.82,0.8419
1.92,0.3688
2.02,0.0142
2.12,0.0256
2.22,0.2493
2.32,0.6761
2.42,0.9695
2.53,0.7663
2.63,0.6725
2.73,0.2929
2.83,0.1002
2.93,0.1391
3.03,0.4806
3.13,0.7658
3.23,1.0136
3.33,0.9259
3.43,0.3677
3.54,0.0
3.64,0.0
3.74,0.3766
3.84,0.826
3.94,1.0429
4.04,0.8347
4.14,0.562
4.24,0.1785
4.34,0.0
4.44,0.2798
4.55,0.2248
4.65,0.7876
4.75,0.8182
4.85,0.7023
4.95,0.2857
5.05,0.0
5.15,0.1739
5.25,0.3975
5.35,0.6033
5.45,1.0354
5.56,0.9332
5.66,0.4455
5.76,0.1796
5.86,0.1221
5.96,0.0327
6.06,0.6791
6.16,0.8704
6.26,0.9418
6.36,0.7595
6.46,0.3083
6.57,0.0
6.67,0.0
6.77,0.3884
6.87,0.5911
6.97,0.9084
7.07,0.7915
7.17,0.7798
7.27,0.1712
7.37,0.588
7.47,0.1168
7.58,0.4943
7.68,0.6866
7.78,0.8524
7.88,0.8574
7.98,0.4396
8.08,0.0706
8.18,0.0
8.28,0.2623
8.38,0.871
8.48,1.0766
8.59,0.8717
8.69,0.7121
8.79,0.1866
8.89,0.0778
8.99,0.0
9.09,0.3827
9.19,0.9696
9.29,1.0239
9.39,0.7038
9.49,0.5586
9.6,0.0673
9.7,0.1062
9.8,0.3083
9.9,0.7556
10.0,0.7474
