time,value
0.0,0.5005
0.1,0.9421
0.2,1.036
0.3,0.6763
0.4,0.0332
0.51,0.0835
0.61,0.5198
0.71,1.049
0.81,0.9509
0.91,0.6569
1.01,0.1613
1.11,0.0084
1.21,0.5287
1.31,0.8548
1.41,1.0274
1.52,0.5769
1.62,0.1865
1.72,0.0
1.82,0.4307
1.92,0.9022
2.02,0.9237
2.12,0.7555
2.22,0.1325
2.32,0.0
2.42,0.2396
2.53,0.8707
2.63,0.9439
2.73,1.0148
2.83,0.0798
2.93,0.0485
3.03,0.3207
3.13,0.8665
3.23,1.0555
3.33,0.691
3.43,0.3528
3.54,0.1537
3.64,0.1911
3.74,0.5922
3.84,1.0496
3.94,0.8649
4.04,0.2609
4.14,0.0338
4.24,0.1783
4.34,0.7775
4.44,0.961
4.55,1.1204
4.65,0.2789
4.75,0.0094
4.85,0.1353
4.95,0.6239
5.05,0.8769
5.15,0.8264
5.25,0.4902
5.35,0.0369
5.45,0.1958
5.56,0.8381
5.66,1.002
5.76,0.9756
5.86,0.3599
5.96,0.1151
6.06,0.1068
6.16,0.5205
6.26,1.0008
6.36,0.8769
6.46,0.5365
6.57,0.0174
6.67,0.0163
6.77,0.4015
6.87,0.8004
6.97,0.8992
7.07,0.5551
7.17,0.13
7.27,0.2377
7.37,0.3698
7.47,0.6819
7.58,1.0055
7.68,0.6307
7.78,0.2055
7.88,0.0
7.98,0.4063
8.08,0.946
8.18,1.1391
8.28,0.5746
8.38,0.219
8.48,0.0625
8.59,0.3142
8.69,0.804
8.79,0.8395
8.89,0.7751
8.99,0.2083
9.09,0.0
9.19,0.3431
9.29,0.8484
9.39,1.1046
9.49,0.7544
9.6,0.3088
9.7,0.0
9.8,0.3463
9.9,0.6139
10.0,1.0885
