time,value
0.0,0.5615
0.1,0.8935
0.2,1.0139
0.3,0.7662
0.4,0.5462
0.51,0.0532
0.61,0.1234
0.71,0.5162
0.81,0.7183
0.91,0.8117
1.01,0.9286
1.11,0.418
1.21,0.1273
1.31,0.0949
1.41,0.1144
1.52,0.8397
1.62,1.0462
1.72,0.8904
1.82,0.5974
1.92,0.0818
2.02,0.0959
2.12,0.238
2.22,0.6215
2.32,0.846
2.42,0.9221
2.53,0.7179
2.63,0.6678
2.73,0.4371
2.83,0.0727
2.93,0.6021
3.03,0.7812
3.13,1.0618
3.23,0.7438
3.33,0.4801
3.43,0.1695
3.54,0.0
3.64,0.0699
3.74,0.6741
3.84,1.0399
3.94,1.0477
4.04,0.5459
4.14,0.2367
4.24,0.0991
4.34,0.0864
4.44,0.6994
4.55,0.8256
4.65,1.0323
4.75,0.8954
4.85,0.392
4.95,0.0
5.05,0.0
5.15,0.3832
5.25,0.8702
5.35,1.1038
5.45,0.8084
5.56,0.4267
5.66,0.0495
5.76,0.0966
5.86,0.3101
5.96,0.6945
6.06,1.1424
6.16,0.9509
6.26,0.4725
6.36,0.0373
6.46,0.0
6.57,0.2097
6.67,0.5979
6.77,0.9004
6.87,1.0448
6.97,0.689
7.07,0.3613
7.17,0.0075
7.27,0.1844
7.37,0.492
7.47,0.9749
7.58,0.9947
7.68,0.8607
7.78,0.4705
7.88,0.0265
7.98,0.1714
8.08,0.4281
8.18,0.809
8.28,1.0186
8.38,0.925
8.48,0.4323
8.59,0.0304
8.69,0.029
8.79,0.1127
8.89,0.6025
8.99,0.842
9.09,1.1015
9.19,0.6515
9.29,0.377
9.39,0.0353
9.49,0.1088
9.6,0.4328
9.7,0.8896
9.8,0.9793
9.9,0.8869
10.0,0.1396
