time,value
0.0,0.5847
0.1,0.92
0.2,0.8487
0.3,1.0272
0.4,0.1819
0.51,0.0
0.61,0.2201
0.71,0.9848
0.81,1.0552
0.91,0.8757
1.01,0.4387
1.11,0.1066
1.21,0.0
1.31,0.387
1.41,0.8526
1.52,0.9905
1.62,0.4218
1.72,0.1485
1.82,0.0
1.92,0.4007
2.02,0.7274
2.12,1.0226
2.22,0.8575
2.32,0.3286
2.42,0.1205
2.53,0.011
2.63,0.3632
2.73,0.8409
2.83,1.0541
2.93,0.7004
3.03,0.2814
3.13,0.0
3.23,0.3022
3.33,0.7498
3.43,1.0258
3.54,0.6478
3.64,0.1532
3.74,0.0154
3.84,0.0
3.94,0.498
4.04,0.927
4.14,0.8639
4.24,0.708
4.34,0.259
4.44,0.0671
4.55,0.1655
4.65,0.7236
4.75,0.7395
4.85,0.6885
4.95,0.468
5.05,0.0589
5.15,0.1595
5.25,0.5624
5.35,0.9661
5.45,0.9541
5.56,0.535
5.66,0.1971
5.76,0.0836
5.86,0.2312
5.96,0.7104
6.06,1.0583
6.16,0.8864
6.26,0.2849
6.36,0.0748
6.46,0.1773
6.57,0.296
6.67,0.8076
6.77,0.8685
6.87,0.7897
6.97,0.2504
7.07,0.0
7.17,0.173
7.27,0.6391
7.37,1.2
7.47,0.6329
7.58,0.524
7.68,0.0284
7.78,0.0
7.88,0.6883
7.98,0.7863
8.08,0.8282
8.18,0.5215
8.28,0.1687
8.38,0.0482
8.48,0.3094
8.59,0.6177
8.69,1.0456
8.79,0.8762
8.89,0.3582
8.99,0.041
9.09,0.0758
9.19,0.3759
9.29,0.9593
9.39,0.9264
9.49,0.8184
9.6,0.126
9.7,0.0658
9.8,0.2241
9.9,0.6742
10.0,0.877
