time,value
0.0,0.3331
0.1,0.9635
0.2,1.108
0.3,0.7624
0.4,0.2714
0.51,0.0
0.61,0.4264
0.71,0.8387
0.81,0.9864
0.91,0.8438
1.01,0.3437
1.11,0.2191
1.21,0.1368
1.31,0.5308
1.41,0.8049
1.52,1.002
1.62,0.6119
1.72,0.1621
1.82,0.0273
1.92,0.3798
2.02,0.7426
2.12,0.7819
2.22,0.787
2.32,0.3173
2.42,0.1427
2.53,0.0
2.63,0.5228
2.73,0.9544
2.83,1.0873
2.93,0.6442
3.03,0.2063
3.13,0.0902
3.23,0.2291
3.33,0.6686
3.43,1.0708
3.54,0.9573
3.64,0.4936
3.74,0.007
3.84,0.0379
3.94,0.3544
4.04,1.2
4.14,1.0029
4.24,0.7576
4.34,0.5969
4.44,0.1235
4.55,0.168
4.65,0.5142
4.75,0.9636
4.85,0.7884
4.95,0.4464
5.05,0.1927
5.15,0.0198
5.25,0.3139
5.35,0.6791
5.45,1.1605
5.56,0.8405
5.66,0.3962
5.76,0.0555
5.86,0.2333
5.96,0.5192
6.06,0.8468
6.16,0.9486
6.26,0.4893
6.36,0.0977
6.46,0.0644
6.57,0.2393
6.67,0.7964
6.77,1.1342
6.87,0.7924
6.97,0.1991
7.07,0.0909
7.17,0.1344
7.27,0.346
7.37,0.9095
7.47,1.0259
7.58,0.4715
7.68,0.2232
7.78,0.0
7.88,0.2435
7.98,0.8816
8.08,1.0236
8.18,0.9339
8.28,0.4677
8.38,0.0
8.48,0.0816
8.59,0.5026
8.69,0.8422
8.79,1.0728
8.89,0.6297
8.99,0.2224
9.09,0.0854
9.19,0.163
9.29,0.7038
9.39,1.0003
9.49,0.8609
9.6,0.4079
9.7,0.2146
9.8,0.213
9.9,0.5531
10.0,0.9418
