time,value
0.0,0.4984
0.1,0.7556
0.2,0.953
0.3,1.0001
0.4,0.8307
0.51,0.5719
0.61,0.2431
0.71,0.0592
0.81,0.0077
0.91,0.1201
1.01,0.3596
1.11,0.602
1.21,0.8177
1.31,0.9737
1.41,0.996
1.52,0.7238
1.62,0.4718
1.72,0.2158
1.82,0.07
1.92,0.0
2.02,0.1727
2.12,0.4606
2.22,0.6929
2.32,0.9376
2.42,1.0161
2.53,0.9452
2.63,0.6794
2.73,0.4182
2.83,0.0711
2.93,0.0
3.03,0.0608
3.13,0.2621
3.23,0.5243
3.33,0.859
3.43,0.9798
3.54,1.0041
3.64,0.7705
3.74,0.5389
3.84,0.2543
3.94,0.1087
4.04,0.0
4.14,0.1098
4.24,0.3482
4.34,0.6498
4.44,0.8756
4.55,1.0143
4.65,0.9188
4.75,0.7681
4.85,0.4463
4.95,0.2368
5.05,0.0
5.15,0.012
5.25,0.2145
5.35,0.4442
5.45,0.7515
5.56,0.9804
5.66,0.9704
5.76,0.9131
5.86,0.64
5.96,0.3359
6.06,0.0724
6.16,0.0
6.26,0.0501
6.36,0.2395
6.46,0.5586
6.57,0.8101
6.67,0.9989
6.77,0.9115
6.87,0.8281
6.97,0.4725
7.07,0.2748
7.17,0.0758
7.27,0.0
7.37,0.1753
7.47,0.3907
7.58,0.6873
7.68,0.9073
7.78,1.0229
7.88,0.9433
7.98,0.6723
8.08,0.3947
8.18,0.1168
8.28,0.0
8.38,0.0258
8.48,0.1953
8.59,0.5406
8.69,0.7784
8.79,0.9629
8.89,0.9928
8.99,0.8486
9.09,0.5832
9.19,0.3529
9.29,0.1123
9.39,0.0068
9.49,0.1055
9.6,0.286
9.7,0.5734
9.8,0.9094
9.9,0.9119
10.0,0.9411
