time,value
0.0,0.4878
0.1,0.7271
0.2,0.9934
0.3,0.9836
0.4,0.8189
0.51,0.691
0.61,0.3464
0.71,0.163
0.81,0.0529
0.91,0.0159
1.01,0.2039
1.11,0.3983
1.21,0.6992
1.31,0.8835
1.41,1.0503
1.52,0.989
1.62,0.72
1.72,0.4427
1.82,0.2045
1.92,0.0493
2.02,0.0
2.12,0.1725
2.22,0.3565
2.32,0.6624
2.42,0.8136
2.53,0.9387
2.63,1.0001
2.73,0.7799
2.83,0.544
2.93,0.2779
3.03,0.0461
3.13,0.0316
3.23,0.0638
3.33,0.3221
3.43,0.5385
3.54,0.7765
3.64,0.9696
3.74,1.0015
3.84,0.8749
3.94,0.6017
4.04,0.3152
4.14,0.088
4.24,0.0133
4.34,0.0415
4.44,0.1855
4.55,0.479
4.65,0.7608
4.75,0.9179
4.85,0.943
4.95,0.8872
5.05,0.7489
5.15,0.4183
5.25,0.1346
5.35,0.0229
5.45,0.0
5.56,0.1425
5.66,0.4066
5.76,0.6912
5.86,0.865
5.96,1.0055
6.06,0.9887
6.16,0.7528
6.26,0.4814
6.36,0.2597
6.46,0.0441
6.57,0.0
6.67,0.1051
6.77,0.3184
6.87,0.6425
6.97,0.8589
7.07,1.0049
7.17,0.9763
7.27,0.8012
7.37,0.5398
7.47,0.2927
7.58,0.0858
7.68,0.0176
7.78,0.0526
7.88,0.2599
7.98,0.5429
8.08,0.8368
8.18,1.0221
8.28,1.0056
8.38,0.9005
8.48,0.6173
8.59,0.3212
8.69,0.0971
8.79,0.0
8.89,0.0461
8.99,0.1906
9.09,0.5266
9.19,0.7335
9.29,0.9314
9.39,0.9922
9.49,0.9496
9.6,0.7015
9.7,0.4451
9.8,0.1905
9.9,0.0591
10.0,0.0433
